title,type,location,bedrooms,bathrooms,price_qar,area_sqm,district,city,segment,type_encoded,cluster
READY TO MOVE IN | BRAND NEW | 2 BEDROOMS,Apartment,"Lusail Residence, Marina District, Lusail",2.0,3.0,10000,150.0,Marina District,Lusail,Budget,0,0
BILLS INCLUDED | BRAND NEW 2BR | HOTEL FACILITIES,Apartment,"West Bay Tower, West Bay, West Bay, Doha",2.0,3.0,12000,110.0,West Bay,Doha,Budget,0,0
BILLS + WIFI INCLUDED W/ AMENITIES | FURNISHED 1BR,Apartment,"Al Mansoura, Al Mansoura, Doha",1.0,2.0,4500,100.0,Al Mansoura,Doha,Budget,0,0
LUXURIOUS TWO-BEDROOM | BALCONY | SEA VIEW,Apartment,"Imperial Diamond, Viva Bahriyah, The Pearl Island, Doha",2.0,3.0,13000,210.0,The Pearl Island,Doha,Budget,0,0
LUXURIOUS | 1 BEDROOM | WITH PRIVATE GARDEN,Apartment,"La Plage South, La Plage, The Pearl Island, Doha",1.0,2.0,10179,120.0,The Pearl Island,Doha,Budget,0,0
Premium 2 Bedroom | Bills Included | Luxury,Apartment,"Piazza 2, La Piazza, Fox Hills, Lusail",2.0,2.0,7500,100.0,Fox Hills,Lusail,Budget,0,0
ALL BILLS INCLUDED | FULLY FURNISHED APARTMENT,Apartment,"Lusail Residence, Marina District, Lusail",1.0,2.0,7500,82.0,Marina District,Lusail,Budget,0,0
BILLS INCLUDED | LUXURY 2BR | PRIME LOCATION,Apartment,"Umm Ghwailina Comm, Umm Ghuwalina, Umm Ghuwailina, Doha",2.0,2.0,8000,100.0,Umm Ghuwailina,Doha,Budget,0,0
Spacious 4BR Semi-Furnished Villa |  Ain Khalid,Villa,"Ain Khaled Villas, Ain Khaled, Doha",4.0,5.0,12000,370.0,Ain Khaled,Doha,Luxury,1,1
Stylish 1-Bedroom | Balcony | Spacious Layout,Apartment,"East Porto Drive, Porto Arabia, The Pearl Island, Doha",1.0,2.0,7500,90.0,The Pearl Island,Doha,Budget,0,0
